frame_number,ID,LT,RB,score
2550,2,"(852, 243)","(1106, 561)",0.21
2551,2,"(865, 242)","(1117, 566)",0.23
2552,2,"(868, 249)","(1115, 564)",0.24
2554,2,"(884, 246)","(1123, 561)",0.28
2555,2,"(887, 251)","(1123, 560)",0.27
2556,2,"(891, 252)","(1126, 561)",0.27
2557,2,"(891, 251)","(1126, 561)",0.27
2558,2,"(894, 251)","(1130, 561)",0.27
2559,2,"(898, 249)","(1133, 559)",0.27
2560,2,"(909, 249)","(1141, 557)",0.28
2561,2,"(911, 250)","(1143, 558)",0.28
2562,2,"(911, 250)","(1143, 558)",0.28
2563,2,"(915, 251)","(1146, 559)",0.28
2564,2,"(919, 253)","(1149, 561)",0.28
2570,2,"(924, 247)","(1161, 568)",0.26
2571,2,"(922, 244)","(1161, 570)",0.26
2572,2,"(922, 244)","(1161, 570)",0.26
2573,2,"(919, 244)","(1161, 573)",0.26
2574,2,"(919, 245)","(1162, 572)",0.26
2577,2,"(908, 248)","(1152, 561)",0.25
2578,2,"(908, 249)","(1152, 560)",0.26
2579,2,"(906, 248)","(1152, 554)",0.22
2580,2,"(889, 237)","(1138, 545)",0.18
2581,2,"(878, 233)","(1131, 546)",0.11
2582,2,"(866, 221)","(1120, 540)",0.09
2583,2,"(866, 220)","(1119, 540)",0.09
2584,2,"(854, 216)","(1108, 535)",0.09
2585,2,"(836, 207)","(1083, 534)",0.09
2586,2,"(823, 212)","(1076, 533)",0.11
2587,2,"(807, 213)","(1057, 533)",0.11
2588,2,"(807, 213)","(1057, 533)",0.11
2589,2,"(805, 219)","(1044, 542)",0.11
2590,2,"(805, 224)","(1047, 540)",0.11
2591,2,"(788, 218)","(1028, 538)",0.11
2592,2,"(787, 214)","(1025, 531)",0.10
2593,2,"(787, 215)","(1025, 532)",0.11
2594,2,"(791, 219)","(1023, 524)",0.12
2595,2,"(787, 216)","(1019, 520)",0.12
2596,2,"(786, 217)","(1017, 522)",0.13
2597,2,"(784, 219)","(1016, 522)",0.12
2598,2,"(784, 219)","(1017, 522)",0.12
2599,2,"(782, 219)","(1016, 525)",0.11
2600,2,"(782, 221)","(1015, 525)",0.11
2601,2,"(781, 222)","(1015, 525)",0.12
2602,2,"(780, 221)","(1019, 527)",0.11
2603,2,"(779, 221)","(1019, 529)",0.11
2604,2,"(779, 222)","(1022, 529)",0.11
2605,2,"(779, 206)","(1031, 533)",0.10
2606,2,"(780, 210)","(1035, 536)",0.10
2607,2,"(778, 213)","(1037, 540)",0.09
2608,2,"(778, 213)","(1038, 540)",0.09
2609,2,"(784, 214)","(1040, 536)",0.09
2610,2,"(783, 216)","(1042, 543)",0.10
2611,2,"(780, 212)","(1041, 542)",0.10
2612,2,"(786, 214)","(1035, 529)",0.10
2613,2,"(787, 215)","(1035, 530)",0.10
2614,2,"(787, 214)","(1035, 531)",0.10
2615,2,"(783, 207)","(1036, 537)",0.09
2616,2,"(800, 217)","(1045, 532)",0.09
2617,2,"(800, 218)","(1043, 532)",0.09
2618,2,"(800, 218)","(1043, 532)",0.09
2619,2,"(801, 218)","(1042, 532)",0.09
2620,2,"(799, 216)","(1041, 533)",0.09
2621,2,"(798, 215)","(1040, 533)",0.09
2622,2,"(799, 215)","(1041, 532)",0.10
2623,2,"(798, 214)","(1039, 533)",0.09
2624,2,"(796, 215)","(1038, 533)",0.09
2625,2,"(795, 214)","(1036, 532)",0.09
2626,2,"(797, 214)","(1037, 532)",0.09
2627,2,"(794, 215)","(1035, 532)",0.09
2628,2,"(794, 215)","(1035, 532)",0.09
2629,2,"(793, 214)","(1034, 533)",0.10
2630,2,"(792, 214)","(1033, 533)",0.09
2631,2,"(795, 215)","(1035, 532)",0.09
2632,2,"(793, 216)","(1034, 533)",0.09
2633,2,"(793, 215)","(1035, 533)",0.09
2634,2,"(790, 216)","(1032, 534)",0.09
2635,2,"(769, 217)","(1021, 539)",0.08
2636,2,"(769, 219)","(1022, 542)",0.08
2637,2,"(769, 220)","(1024, 547)",0.09
2638,2,"(768, 220)","(1025, 549)",0.09
2639,2,"(770, 221)","(1029, 555)",0.08
2640,2,"(772, 225)","(1035, 559)",0.08
2641,2,"(773, 225)","(1035, 559)",0.08
2642,2,"(774, 222)","(1035, 557)",0.08
2643,2,"(774, 222)","(1035, 557)",0.08
2644,2,"(775, 220)","(1033, 552)",0.08
2645,2,"(775, 219)","(1032, 548)",0.08
2646,2,"(776, 219)","(1033, 549)",0.08
2647,2,"(776, 221)","(1033, 550)",0.08
2648,2,"(776, 221)","(1034, 550)",0.08
2649,2,"(775, 222)","(1032, 552)",0.08
2650,2,"(775, 222)","(1035, 554)",0.08
2651,2,"(777, 222)","(1036, 555)",0.08
2652,2,"(778, 224)","(1038, 558)",0.08
2653,2,"(778, 224)","(1038, 557)",0.08
2654,2,"(778, 226)","(1038, 560)",0.08
2655,2,"(779, 223)","(1036, 553)",0.09
2656,2,"(782, 215)","(1030, 545)",0.08
2657,2,"(794, 215)","(1042, 539)",0.08
2658,2,"(780, 209)","(1034, 537)",0.08
2659,2,"(781, 206)","(1033, 531)",0.08
2660,2,"(780, 208)","(1035, 535)",0.09
2661,2,"(778, 212)","(1033, 540)",0.08
2662,2,"(777, 217)","(1032, 547)",0.08
2663,2,"(778, 215)","(1033, 549)",0.08
2664,2,"(778, 223)","(1029, 544)",0.08
2665,2,"(776, 230)","(1026, 544)",0.09
2666,2,"(776, 228)","(1026, 547)",0.09
2667,2,"(774, 229)","(1025, 549)",0.09
2668,2,"(774, 229)","(1025, 548)",0.09
2669,2,"(773, 229)","(1026, 551)",0.09
2670,2,"(780, 237)","(1022, 559)",0.10
2671,2,"(775, 235)","(1023, 554)",0.09
2672,2,"(779, 235)","(1022, 552)",0.10
2673,2,"(779, 235)","(1022, 552)",0.10
2674,2,"(775, 232)","(1023, 550)",0.10
2675,2,"(775, 228)","(1025, 549)",0.09
2676,2,"(777, 237)","(1021, 549)",0.10
2677,2,"(776, 239)","(1021, 555)",0.10
2678,2,"(776, 238)","(1021, 554)",0.10
2679,2,"(778, 240)","(1023, 556)",0.11
2680,2,"(784, 236)","(1033, 563)",0.09
2681,2,"(789, 235)","(1036, 563)",0.09
2682,2,"(794, 233)","(1042, 561)",0.08
2683,2,"(794, 233)","(1041, 561)",0.08
2684,2,"(798, 231)","(1046, 556)",0.08
2685,2,"(803, 227)","(1051, 554)",0.09
2686,2,"(804, 225)","(1055, 557)",0.09
2687,2,"(806, 226)","(1059, 558)",0.09
2688,2,"(807, 226)","(1058, 559)",0.09
2689,2,"(808, 224)","(1060, 560)",0.09
2690,2,"(810, 220)","(1063, 554)",0.08
2691,2,"(811, 216)","(1064, 547)",0.08
2692,2,"(814, 211)","(1067, 541)",0.08
2693,2,"(814, 211)","(1067, 541)",0.08
2694,2,"(813, 206)","(1069, 540)",0.08
2695,2,"(817, 206)","(1074, 539)",0.08
2696,2,"(821, 208)","(1075, 537)",0.08
2697,2,"(822, 208)","(1076, 535)",0.08
2698,2,"(821, 202)","(1079, 539)",0.07
2841,2,"(878, 280)","(891, 297)",0.27
2855,1,"(875, 281)","(889, 298)",0.27
2861,2,"(874, 280)","(888, 297)",0.25
2863,2,"(1076, 436)","(1089, 452)",0.14
2867,2,"(1076, 436)","(1089, 453)",0.13
2870,2,"(871, 280)","(885, 298)",0.25
2871,2,"(872, 281)","(885, 298)",0.27
2872,2,"(872, 281)","(886, 298)",0.26
3711,4,"(740, 375)","(872, 544)",0.13
3712,4,"(740, 375)","(872, 543)",0.13
3745,4,"(745, 359)","(885, 536)",0.14
3746,4,"(742, 357)","(884, 538)",0.15
3747,4,"(742, 357)","(884, 539)",0.15
3814,4,"(718, 324)","(864, 509)",0.14
3815,4,"(714, 320)","(861, 502)",0.15
3825,4,"(699, 301)","(855, 503)",0.14
3880,4,"(631, 204)","(824, 452)",0.13
3881,4,"(635, 206)","(819, 440)",0.13
3882,4,"(635, 201)","(820, 438)",0.15
3883,4,"(634, 201)","(820, 437)",0.15
3884,4,"(636, 199)","(820, 437)",0.15
3886,4,"(636, 200)","(817, 434)",0.15
3887,4,"(635, 199)","(818, 436)",0.15
3888,4,"(635, 199)","(817, 436)",0.15
3889,4,"(636, 200)","(819, 436)",0.15
3890,4,"(633, 206)","(818, 441)",0.14
3891,4,"(633, 206)","(819, 440)",0.14
3892,4,"(632, 205)","(820, 439)",0.14
3893,4,"(633, 205)","(820, 439)",0.13
3894,4,"(633, 204)","(820, 440)",0.13
3895,4,"(632, 205)","(819, 439)",0.13
3896,4,"(629, 204)","(818, 443)",0.13
3897,4,"(629, 202)","(818, 444)",0.14
3898,4,"(628, 203)","(817, 445)",0.14
3899,4,"(627, 201)","(818, 445)",0.14
3900,4,"(627, 198)","(820, 447)",0.14
3901,4,"(627, 198)","(820, 447)",0.14
3902,4,"(627, 198)","(820, 448)",0.13
3903,4,"(627, 197)","(821, 447)",0.13
3904,4,"(627, 197)","(820, 447)",0.14
3905,4,"(629, 199)","(818, 440)",0.14
3906,4,"(631, 197)","(819, 437)",0.14
3907,4,"(631, 195)","(819, 437)",0.14
3908,4,"(630, 195)","(820, 437)",0.14
3909,4,"(633, 196)","(820, 436)",0.14
3910,4,"(633, 194)","(822, 435)",0.14
